Description_ID,Top_20_Image_IDs
0.txt,1683.jpg 111.jpg 1840.jpg 1842.jpg 1833.jpg 120.jpg 1437.jpg 1674.jpg 1665.jpg 1648.jpg 1641.jpg 1618.jpg 250.jpg 1574.jpg 281.jpg 1538.jpg 311.jpg 1699.jpg 1412.jpg 121.jpg
1.txt,388.jpg 1124.jpg 1086.jpg 1412.jpg 1059.jpg 1033.jpg 445.jpg 452.jpg 1391.jpg 649.jpg 381.jpg 1842.jpg 1840.jpg 1267.jpg 1833.jpg 1340.jpg 1343.jpg 1208.jpg 1864.jpg 1866.jpg
2.txt,445.jpg 1931.jpg 1208.jpg 1086.jpg 1033.jpg 1724.jpg 1030.jpg 120.jpg 121.jpg 1027.jpg 1391.jpg 1412.jpg 1421.jpg 700.jpg 1842.jpg 1437.jpg 1962.jpg 452.jpg 649.jpg 1866.jpg
3.txt,111.jpg 934.jpg 1574.jpg 1340.jpg 1343.jpg 784.jpg 1931.jpg 763.jpg 1840.jpg 1702.jpg 120.jpg 121.jpg 1866.jpg 1027.jpg 1864.jpg 1030.jpg 1033.jpg 768.jpg 388.jpg 1538.jpg
4.txt,1027.jpg 452.jpg 1962.jpg 1931.jpg 768.jpg 1674.jpg 649.jpg 1866.jpg 1864.jpg 445.jpg 1702.jpg 784.jpg 1059.jpg 1648.jpg 1208.jpg 1842.jpg 1840.jpg 121.jpg 111.jpg 1665.jpg
5.txt,1086.jpg 111.jpg 607.jpg 1702.jpg 1030.jpg 1391.jpg 768.jpg 1437.jpg 1842.jpg 1724.jpg 184.jpg 1962.jpg 281.jpg 1641.jpg 120.jpg 649.jpg 1343.jpg 860.jpg 311.jpg 1059.jpg
6.txt,281.jpg 1641.jpg 381.jpg 1648.jpg 311.jpg 111.jpg 1059.jpg 250.jpg 1962.jpg 1538.jpg 1807.jpg 1833.jpg 1840.jpg 1475.jpg 607.jpg 1842.jpg 1437.jpg 1574.jpg 388.jpg 1618.jpg
7.txt,1648.jpg 1027.jpg 1412.jpg 1343.jpg 1421.jpg 1618.jpg 1641.jpg 1931.jpg 1702.jpg 311.jpg 1391.jpg 1059.jpg 1674.jpg 1683.jpg 281.jpg 1699.jpg 784.jpg 821.jpg 1033.jpg 1030.jpg
8.txt,1391.jpg 1059.jpg 445.jpg 1340.jpg 1030.jpg 934.jpg 1343.jpg 1124.jpg 1842.jpg 111.jpg 1840.jpg 121.jpg 1833.jpg 1421.jpg 1437.jpg 388.jpg 1807.jpg 1864.jpg 784.jpg 649.jpg
9.txt,649.jpg 860.jpg 1437.jpg 784.jpg 1641.jpg 445.jpg 250.jpg 1538.jpg 821.jpg 874.jpg 1086.jpg 111.jpg 1421.jpg 934.jpg 120.jpg 184.jpg 121.jpg 452.jpg 281.jpg 1674.jpg
10.txt,121.jpg 1030.jpg 1027.jpg 1931.jpg 1059.jpg 1033.jpg 120.jpg 1343.jpg 1208.jpg 1866.jpg 1864.jpg 607.jpg 874.jpg 1840.jpg 1267.jpg 1833.jpg 1807.jpg 111.jpg 184.jpg 1124.jpg
11.txt,1807.jpg 1538.jpg 381.jpg 311.jpg 1027.jpg 452.jpg 1475.jpg 1674.jpg 120.jpg 1086.jpg 121.jpg 607.jpg 874.jpg 1030.jpg 1033.jpg 1340.jpg 1343.jpg 1931.jpg 1124.jpg 1702.jpg
12.txt,1724.jpg 1702.jpg 1086.jpg 649.jpg 1699.jpg 1421.jpg 1059.jpg 281.jpg 1033.jpg 1030.jpg 1027.jpg 1683.jpg 388.jpg 1475.jpg 700.jpg 381.jpg 1931.jpg 1391.jpg 1412.jpg 934.jpg
13.txt,784.jpg 1931.jpg 1962.jpg 1833.jpg 1124.jpg 388.jpg 768.jpg 763.jpg 184.jpg 1807.jpg 381.jpg 1574.jpg 1343.jpg 1340.jpg 311.jpg 1412.jpg 607.jpg 1840.jpg 1030.jpg 1033.jpg
14.txt,311.jpg 1702.jpg 1842.jpg 1267.jpg 1618.jpg 1931.jpg 768.jpg 1340.jpg 1343.jpg 649.jpg 250.jpg 1866.jpg 1864.jpg 763.jpg 860.jpg 1086.jpg 1574.jpg 1699.jpg 111.jpg 1033.jpg
15.txt,121.jpg 120.jpg 768.jpg 388.jpg 1437.jpg 934.jpg 1059.jpg 1665.jpg 1807.jpg 649.jpg 1033.jpg 1931.jpg 1030.jpg 184.jpg 1574.jpg 1475.jpg 1343.jpg 1421.jpg 1866.jpg 1842.jpg
16.txt,768.jpg 1931.jpg 1648.jpg 121.jpg 784.jpg 1724.jpg 1866.jpg 281.jpg 452.jpg 1864.jpg 1807.jpg 445.jpg 934.jpg 1412.jpg 1618.jpg 1124.jpg 1421.jpg 1391.jpg 1437.jpg 1033.jpg
17.txt,1833.jpg 700.jpg 1027.jpg 1574.jpg 607.jpg 1648.jpg 452.jpg 1340.jpg 1086.jpg 1343.jpg 1807.jpg 445.jpg 1665.jpg 860.jpg 768.jpg 1931.jpg 1538.jpg 1030.jpg 250.jpg 821.jpg
18.txt,381.jpg 1699.jpg 860.jpg 452.jpg 250.jpg 1033.jpg 1931.jpg 1059.jpg 1086.jpg 1421.jpg 1702.jpg 1618.jpg 1124.jpg 1475.jpg 821.jpg 1724.jpg 1437.jpg 1538.jpg 700.jpg 445.jpg
19.txt,874.jpg 1674.jpg 1931.jpg 1648.jpg 1699.jpg 1421.jpg 1702.jpg 784.jpg 700.jpg 1618.jpg 1086.jpg 1724.jpg 1962.jpg 250.jpg 934.jpg 763.jpg 1059.jpg 1343.jpg 768.jpg 1683.jpg
20.txt,1864.jpg 700.jpg 1538.jpg 1648.jpg 281.jpg 821.jpg 1124.jpg 1931.jpg 1267.jpg 1208.jpg 934.jpg 1641.jpg 120.jpg 121.jpg 1842.jpg 1840.jpg 250.jpg 1866.jpg 784.jpg 1618.jpg
21.txt,700.jpg 1267.jpg 120.jpg 121.jpg 311.jpg 1421.jpg 1931.jpg 1840.jpg 1702.jpg 388.jpg 1842.jpg 1674.jpg 1538.jpg 1866.jpg 1648.jpg 250.jpg 1059.jpg 1724.jpg 1033.jpg 184.jpg
22.txt,1030.jpg 860.jpg 1641.jpg 1412.jpg 1931.jpg 1574.jpg 874.jpg 1033.jpg 607.jpg 1866.jpg 381.jpg 1864.jpg 1618.jpg 1665.jpg 784.jpg 1124.jpg 1702.jpg 1475.jpg 1674.jpg 1437.jpg
